Accno	Trimpoints Used	Used Trimmed Length	Orig Trimpoints	Orig Trimmed Length	Raw Length
HSKHDBE01DXNKE	58-507	450	15-536	522	547
HSKHDBE01A459V	93-512	420	15-512	498	519
HSKHDBE01DNWFV	55-431	377	15-431	417	515
HSKHDBE01A5ZCG	57-122	66	15-122	108	498
HSKHDBE01B49RS	61-464	404	15-464	450	465
HSKHDBE01ANGSY	37-119	83	15-119	105	565
HSKHDBE01AGMX8	55-439	385	15-439	425	443
HSKHDBE01ASJYG	56-447	392	15-447	433	468
HSKHDBE01BRH08	60-448	389	15-448	434	470
HSKHDBE01C5T2A	59-455	397	15-511	497	515
HSKHDBE01B7UCR	57-273	217	15-273	259	431
HSKHDBE01EFEGW	54-485	432	15-485	471	494
HSKHDBE01B8UF1	57-264	208	15-264	250	275
HSKHDBE01BGTVV	54-436	383	15-436	422	442
HSKHDBE01BKAO4	78-111	34	15-111	97	113
HSKHDBE01ASTEO	59-168	110	15-168	154	565
HSKHDBE01DV3Z4	58-290	233	15-345	331	370
HSKHDBE01A9NSA	54-339	286	15-339	325	352
HSKHDBE01D9TFI	57-182	126	15-182	168	184
HSKHDBE01B3DED	54-376	323	15-423	409	457
HSKHDBE01DN5LH	56-364	309	15-364	350	368
HSKHDBE01AVWZB	56-176	121	15-194	180	343
HSKHDBE01B6190	57-429	373	15-429	415	442
HSKHDBE01ASAVC	54-376	323	15-433	419	459
HSKHDBE01C3R8P	58-507	450	15-507	493	514
HSKHDBE01DLE52	93-459	367	15-459	445	475
HSKHDBE01BDY2Q	57-450	394	15-450	436	499
HSKHDBE01AZW7K	55-511	457	15-512	498	523
HSKHDBE01CM6XB	55-55	1	15-55	41	639
HSKHDBE01C5Z9I	53-412	360	15-412	398	531
HSKHDBE01B99AG	58-239	182	15-293	279	335
HSKHDBE01AQA5B	56-363	308	15-363	349	366
HSKHDBE01AGUF2	56-417	362	15-427	413	516
HSKHDBE01A1MQ7	58-278	221	15-278	264	379
HSKHDBE01CRRCW	59-485	427	15-485	471	524
