Accno	Trimpoints Used	Used Trimmed Length	Orig Trimpoints	Orig Trimmed Length	Raw Length
HNV3Z9J01BP8EA	58-488	431	15-514	500	517
HNV3Z9J01EE9P1	59-478	420	15-478	464	505
HNV3Z9J01B6JMN	61-391	331	15-391	377	403
HNV3Z9J01BQYUU	62-301	240	15-301	287	312
HNV3Z9J01CL291	58-447	390	15-447	433	514
HNV3Z9J01EX8XV	65-350	286	15-350	336	352
HNV3Z9J01C0EGG	60-202	143	15-202	188	204
HNV3Z9J01CN81C	38-38	1	15-51	37	677
HNV3Z9J01C31U9	79-466	388	15-466	452	471
HNV3Z9J01C051Q	62-373	312	15-405	391	532
HNV3Z9J01DS0YG	58-485	428	15-499	485	507
HNV3Z9J01DG80U	38-58	21	15-58	44	892
HNV3Z9J01D8FSO	58-334	277	15-334	320	340
HNV3Z9J01EIS8Z	59-354	296	15-354	340	358
HNV3Z9J01BL84B	60-317	258	15-317	303	323
HNV3Z9J01AD50B	37-519	483	15-519	505	540
HNV3Z9J01DIKBJ	58-486	429	15-486	472	513
HNV3Z9J01D822Y	59-485	427	15-485	471	500
HNV3Z9J01D2Z2H	38-56	19	15-56	42	236
HNV3Z9J01BBFR7	59-528	470	15-528	514	534
HNV3Z9J01CIJM4	37-58	22	15-58	44	533
HNV3Z9J01C8X3D	57-249	193	15-249	235	269
HNV3Z9J01D9UUG	58-91	34	15-91	77	92
HNV3Z9J01BIA4G	61-467	407	15-467	453	475
HNV3Z9J01DBDJQ	42-42	1	15-71	57	163
HNV3Z9J01CI29J	59-244	186	15-244	230	525
HNV3Z9J01EOZ28	58-225	168	15-225	211	228
HNV3Z9J01ATPQB	61-371	311	15-371	357	376
HNV3Z9J01C5199	60-317	258	15-370	356	416
HNV3Z9J01CD9P5	58-160	103	15-160	146	162
HNV3Z9J01AMGEO	36-36	1	15-65	51	501
HNV3Z9J01C8SPP	58-392	335	15-392	378	396
HNV3Z9J01DKTYH	65-349	285	15-349	335	351
HNV3Z9J01BBFMZ	37-52	16	15-52	38	574
HNV3Z9J01BVSMN	58-256	199	15-315	301	337
HNV3Z9J01CTYP9	58-290	233	15-345	331	370
HNV3Z9J01CGHYT	57-462	406	15-462	448	486
HNV3Z9J01DS2NM	58-467	410	15-467	453	472
HNV3Z9J01CFAWZ	59-305	247	15-305	291	348
HNV3Z9J01EA4LT	38-239	202	15-239	225	521
HNV3Z9J01DL2UO	61-377	317	15-377	363	493
HNV3Z9J01A4GS7	60-468	409	15-468	454	505
HNV3Z9J01AX44E	38-226	189	15-226	212	256
HNV3Z9J01C29S0	77-444	368	15-444	430	521
HNV3Z9J01B6C6F	37-146	110	15-146	132	525
HNV3Z9J01C66CA	61-369	309	15-369	355	372
HNV3Z9J01A95OK	59-449	391	15-449	435	500
HNV3Z9J01CVGBH	76-500	425	15-501	487	526
HNV3Z9J01AHSM3	61-479	419	15-489	475	527
HNV3Z9J01C2POR	57-230	174	15-230	216	232
HNV3Z9J01CM1R8	61-423	363	15-423	409	525
HNV3Z9J01CX4UO	61-461	401	15-479	465	510
HNV3Z9J01AX71H	58-434	377	15-434	420	501
HNV3Z9J01B5689	38-54	17	15-54	40	680
HNV3Z9J01BBJ9X	60-265	206	15-272	258	548
HNV3Z9J01AVJ78	58-135	78	15-135	121	353
HNV3Z9J01CLBHN	37-442	406	15-442	428	464
HNV3Z9J01AU070	59-442	384	15-442	428	500
HNV3Z9J01B94TX	56-266	211	15-266	252	269
HNV3Z9J01AWVLY	58-416	359	15-416	402	517
HNV3Z9J01CN2PJ	61-107	47	15-107	93	536
HNV3Z9J01DKX3B	57-493	437	15-518	504	523
HNV3Z9J01BB8A6	38-174	137	15-174	160	375
HNV3Z9J01CC1EZ	59-334	276	15-334	320	339
HNV3Z9J01C482F	57-450	394	15-450	436	527
HNV3Z9J01C40CA	59-488	430	15-488	474	492
HNV3Z9J01BEMB0	62-435	374	15-435	421	530
HNV3Z9J01D198L	60-482	423	15-482	468	508
HNV3Z9J01CO6LN	37-37	1	15-65	51	373
HNV3Z9J01DEFJV	78-448	371	15-448	434	470
HNV3Z9J01BLTZ5	58-157	100	15-157	143	397
HNV3Z9J01DXBYU	57-86	30	15-109	95	765
HNV3Z9J01AD00W	57-394	338	15-453	439	475
HNV3Z9J01BCIV9	59-113	55	15-113	99	689
HNV3Z9J01ENTGC	61-300	240	15-300	286	314
HNV3Z9J01CP40K	60-184	125	15-184	170	572
HNV3Z9J01EP9OH	60-199	140	15-199	185	482
HNV3Z9J01DNXFB	37-466	430	15-478	464	498
HNV3Z9J01ACX60	57-454	398	15-454	440	531
HNV3Z9J01ADXRQ	57-445	389	15-465	451	476
HNV3Z9J01C0WBF	61-500	440	15-500	486	526
HNV3Z9J01EI2YJ	57-187	131	15-187	173	204
HNV3Z9J01DXDIJ	38-57	20	15-57	43	531
HNV3Z9J01A5TZM	37-438	402	15-438	424	512
HNV3Z9J01AJVUV	37-60	24	15-60	46	392
HNV3Z9J01B7BIG	58-400	343	15-400	386	530
HNV3Z9J01AO86G	61-480	420	15-480	466	523
HNV3Z9J01AWA71	61-401	341	15-410	396	471
HNV3Z9J01B8FLC	36-36	1	15-69	55	824
HNV3Z9J01BXK84	62-195	134	15-195	181	541
HNV3Z9J01C1FR9	59-101	43	15-101	87	670
HNV3Z9J01BYXZ9	59-370	312	15-370	356	491
HNV3Z9J01AHHQY	37-482	446	15-489	475	530
HNV3Z9J01DYL7N	60-476	417	15-486	472	518
HNV3Z9J01BLS58	58-73	16	15-73	59	227
HNV3Z9J01DSWQO	65-277	213	15-322	308	381
HNV3Z9J01CH6NB	59-375	317	15-375	361	575
HNV3Z9J01AEKV6	57-160	104	15-160	146	448
HNV3Z9J01BW0ZP	58-475	418	15-475	461	514
HNV3Z9J01A7N4M	58-462	405	15-462	448	527
HNV3Z9J01A555U	37-407	371	15-407	393	543
HNV3Z9J01CLF1D	61-505	445	15-505	491	511
HNV3Z9J01CZ822	59-265	207	15-265	251	268
HNV3Z9J01BTTXK	58-446	389	15-446	432	512
HNV3Z9J01C4OWU	60-467	408	15-467	453	491
HNV3Z9J01C4FXG	58-229	172	15-229	215	232
HNV3Z9J01AZT45	59-471	413	15-471	457	511
HNV3Z9J01BLANX	61-337	277	15-338	324	528
HNV3Z9J01DG4IQ	59-489	431	15-489	475	493
HNV3Z9J01AFNSH	60-488	429	15-488	474	508
HNV3Z9J01BPUAZ	59-164	106	15-164	150	165
HNV3Z9J01DUZ3M	37-479	443	15-524	510	527
HNV3Z9J01ANAZL	59-246	188	15-246	232	630
HNV3Z9J01A4LFQ	60-429	370	15-466	452	510
HNV3Z9J01ALCVR	58-449	392	15-449	435	529
HNV3Z9J01CUMKJ	58-410	353	15-410	396	526
HNV3Z9J01C8ETT	37-357	321	15-357	343	514
HNV3Z9J01COL9G	59-364	306	15-364	350	443
HNV3Z9J01AKKZY	37-376	340	15-399	385	499
